tag,loss_mode,vad_level,window_size,hop_size,opt_at,opt_at_npts,opt_steps,opt_lr,total_iters,n_samples,ref_dir,gen_text,wer_mean,cer_mean,utmos_mean,spk_sim_mean,e2v_dtw_jsd_mean,e2v_frame_jsd_mean_mean,e2v_label_edit_norm_mean,e2v_top_label_match_mean,wer_std,cer_std,utmos_std,spk_sim_std,e2v_dtw_jsd_std,e2v_frame_jsd_mean_std,e2v_label_edit_norm_std,e2v_top_label_match_std,wer_min,cer_min,utmos_min,spk_sim_min,e2v_dtw_jsd_min,e2v_frame_jsd_mean_min,e2v_label_edit_norm_min,e2v_top_label_match_min,wer_max,cer_max,utmos_max,spk_sim_max,e2v_dtw_jsd_max,e2v_frame_jsd_mean_max,e2v_label_edit_norm_max,e2v_top_label_match_max
embedding-both_w0.5_h0.25_at2-4-6-8-10-12-14_s100_lr1e-2,embedding,both,0.5,0.25,2-4-6-8-10-12-14,7,100,1e-2,700,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.0,,2.1799,0.8654,0.3184,0.3195,0.4585,0.5,0.0,,0.7401,0.0647,0.2863,0.2855,0.4519,0.5,0.0,,1.2897,0.713,0.0,0.0,0.0,0.0,0.0,,3.6186,0.9491,0.6931,0.6931,1.0,1.0
embedding-both_w0.5_h0.25_at2-4-6-8-10-12-14_s50_lr1e-2,embedding,both,0.5,0.25,2-4-6-8-10-12-14,7,50,1e-2,350,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.0,,2.568,0.8784,0.2656,0.2661,0.5791,0.375,0.0,,0.5444,0.0401,0.2253,0.2253,0.4517,0.4841,0.0,,1.713,0.795,0.0023,0.0023,0.0,0.0,0.0,,3.4981,0.9363,0.6796,0.6796,1.0,1.0
embedding-both_w0.5_h0.25_at2-4-6-8-10-12-14_s60_lr1e-2,embedding,both,0.5,0.25,2-4-6-8-10-12-14,7,60,1e-2,420,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.0625,,2.5607,0.8715,0.3844,0.385,0.6944,0.25,0.1654,,0.799,0.0459,0.2813,0.2814,0.4258,0.433,0.0,,1.4564,0.7902,0.0,0.0,0.0,0.0,0.5,,4.1053,0.9425,0.6908,0.6908,1.0,1.0
embedding-both_w0.5_h0.25_at2-4-6-8-10-12-14_s70_lr1e-2,embedding,both,0.5,0.25,2-4-6-8-10-12-14,7,70,1e-2,490,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.0,,2.3129,0.8579,0.4741,0.4745,0.7596,0.25,0.0,,0.6394,0.0505,0.2437,0.2436,0.4168,0.433,0.0,,1.456,0.7736,0.0039,0.0039,0.0,0.0,0.0,,3.4761,0.9205,0.6929,0.6929,1.0,1.0
embedding-both_w0.5_h0.25_at2-4-6-8-10-12-14_s80_lr1e-2,embedding,both,0.5,0.25,2-4-6-8-10-12-14,7,80,1e-2,560,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.0625,,2.2374,0.8719,0.3092,0.3097,0.5721,0.5,0.1654,,0.6956,0.0412,0.2749,0.2748,0.4524,0.5,0.0,,1.35,0.8019,0.0,0.0,0.0,0.0,0.5,,3.642,0.9337,0.6887,0.6887,1.0,1.0
embedding-both_w0.5_h0.25_at2-4-6-8-10-12-14_s90_lr1e-2,embedding,both,0.5,0.25,2-4-6-8-10-12-14,7,90,1e-2,630,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.0312,,2.0798,0.8611,0.2928,0.2934,0.567,0.5,0.058,,0.7374,0.0754,0.244,0.2437,0.4582,0.5,0.0,,1.3808,0.7229,0.0,0.0,0.0,0.0,0.1667,,3.4385,0.9604,0.6834,0.6834,1.0,1.0
embedding-both_w1.0_h0.25_at2-4-6-8-10-12-14-16-18-20-24-28_s500_lr2e-3,embedding,both,1.0,0.25,2-4-6-8-10-12-14-16-18-20-24-28,12,500,2e-3,6000,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.0,,1.5605,0.8373,0.4969,0.4974,0.8846,0.125,0.0,,0.4058,0.0718,0.2083,0.2084,0.3053,0.3307,0.0,,1.3023,0.7266,0.0029,0.0029,0.0769,0.0,0.0,,2.5964,0.9379,0.6849,0.6849,1.0,1.0
embedding-both_w1.0_h0.25_at2-4-6-8-10-12-14-16-18-20-24-28_s50_lr1e-2,embedding,both,1.0,0.25,2-4-6-8-10-12-14-16-18-20-24-28,12,50,1e-2,600,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.0104,,1.8618,0.868,0.3418,0.3422,0.5096,0.5,0.0276,,0.5977,0.0682,0.3169,0.3172,0.4909,0.5,0.0,,1.3176,0.7128,0.0,0.0,0.0,0.0,0.0833,,3.2179,0.9528,0.6902,0.6903,1.0,1.0
embedding-both_w1.0_h0.25_at2-4-6-8-10-12-14_s100_lr1e-2,embedding,both,1.0,0.25,2-4-6-8-10-12-14,7,100,1e-2,700,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.125,,1.8456,0.8386,0.2428,0.2432,0.3891,0.625,0.2165,,0.5255,0.0597,0.2873,0.2873,0.4738,0.4841,0.0,,1.4182,0.7382,0.0001,0.0001,0.0,0.0,0.5,,2.8726,0.9161,0.693,0.693,1.0,1.0
embedding-both_w1.0_h0.25_at2-4-6-8-10-12-14_s50_lr1e-2,embedding,both,1.0,0.25,2-4-6-8-10-12-14,7,50,1e-2,350,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.0208,,2.4409,0.8784,0.2802,0.2807,0.5141,0.375,0.0551,,0.7004,0.0532,0.2576,0.2575,0.4182,0.4841,0.0,,1.5301,0.7841,0.0,0.0,0.0,0.0,0.1667,,3.7308,0.9719,0.6931,0.6931,1.0,1.0
embedding-both_w1.0_h0.25_at2-4-6-8-10-12-14_s60_lr1e-2,embedding,both,1.0,0.25,2-4-6-8-10-12-14,7,60,1e-2,420,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.0,,2.5791,0.889,0.1633,0.1636,0.2641,0.75,0.0,,0.6537,0.0374,0.2327,0.2329,0.4256,0.433,0.0,,1.5175,0.8332,0.0,0.0,0.0,0.0,0.0,,3.618,0.9311,0.6931,0.6931,1.0,1.0
embedding-both_w1.0_h0.25_at2-4-6-8-10-12-14_s70_lr1e-2,embedding,both,1.0,0.25,2-4-6-8-10-12-14,7,70,1e-2,490,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.0,,2.4354,0.878,0.3179,0.3181,0.5141,0.5,0.0,,0.5667,0.0568,0.2554,0.2553,0.4864,0.5,0.0,,1.5914,0.7555,0.0,0.0,0.0,0.0,0.0,,3.385,0.953,0.6646,0.6646,1.0,1.0
embedding-both_w1.0_h0.25_at2-4-6-8-10-12-14_s80_lr1e-2,embedding,both,1.0,0.25,2-4-6-8-10-12-14,7,80,1e-2,560,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.0104,,2.0692,0.8953,0.3071,0.3079,0.5721,0.5,0.0276,,0.7207,0.0402,0.2536,0.2538,0.4524,0.5,0.0,,1.2725,0.8361,0.0,0.0,0.0,0.0,0.0833,,3.5761,0.9407,0.6753,0.6753,1.0,1.0
embedding-both_w1.0_h0.25_at2-4-6-8-10-12-14_s90_lr1e-2,embedding,both,1.0,0.25,2-4-6-8-10-12-14,7,90,1e-2,630,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.0,,2.0895,0.8582,0.2874,0.288,0.5096,0.5,0.0,,0.7105,0.0627,0.2778,0.2782,0.4909,0.5,0.0,,1.4248,0.7681,0.0,0.0,0.0,0.0,0.0,,3.5846,0.9624,0.6762,0.6762,1.0,1.0
embedding-both_w1.0_h0.25_at2-6-10-14-18-24-28_s100_lr1e-2,embedding,both,1.0,0.25,2-6-10-14-18-24-28,7,100,1e-2,700,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.0,,1.7539,0.887,0.3187,0.3189,0.5141,0.5,0.0,,0.515,0.0325,0.2764,0.2764,0.4864,0.5,0.0,,1.3318,0.8056,0.0,0.0,0.0,0.0,0.0,,3.0095,0.9112,0.6909,0.6909,1.0,1.0
embedding-frame_w1.0_h0.25_at2-4-6-8-10-12-14-16-18-20-24-28_s500_lr2e-3,embedding,frame,1.0,0.25,2-4-6-8-10-12-14-16-18-20-24-28,12,500,2e-3,6000,8,asset,Dogs are walking on the floor. Dogs are walking on the floor.,0.0104,,1.5246,0.8747,0.4086,0.4091,0.6346,0.375,0.0276,,0.2642,0.0373,0.2889,0.2891,0.4722,0.4841,0.0,,1.266,0.836,0.0024,0.0024,0.0,0.0,0.0833,,2.1254,0.9572,0.6931,0.6931,1.0,1.0
